ID,Punto de Medición,Estado,MES,Año,hora,Caudal acumulado anterior                       (m3 ) ,Caudal acumulado                   (m3 ),Lectura registro                ( L/s),"M1, M2, M3, M4, M5, MA"
SIM02,"Pozo Santa Cruz II (8"")",,10,2022,AM,"46,548.00","96,184.26",41.54, MA 
SIM12,"Mata Maiz Llegando al Tanque 4""",,10,2022,AM,"707,533.00","737,859.00",7.32, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,10,2022,AM,"953,306.00","975,910.00",7.53, MA 
SIM14,"Limpieza Tanque Victoria 8""",,10,2022,AM,"19,829.00","19,829.00", FOP , MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,10,2022,AM,"1,515,468.00","1,557,379.00",28.78, MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,10,2022,AM,"829,490.52","830,612.85", FOP , MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,10,2022,AM,"18,941.16","19,190.82",, MA 
PEND,"Victoria Saliendo 6""",,10,2022,,"1,698,211.00",,, MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,10,2022,AM,"268,574.00","272,804.00",16.26, MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,10,2022,AM,"504,561.00","519,144.00", -   , MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,10,2022,AM,"490,559.00","505,100.00", -   , MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,10,2022,AM,"221,928.00","519,744.00", -   , MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,10,2022,AM,"52,890.00","59,961.00", -   , MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),Estación Fuera de Operación Definitiva,10,2022,,,"148,634.00", -   , MA 
SRM51,Breña Mora Entrada Planta,,10,2022,AM,"1,466,951.30","1,506,896.70",12.4, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,10,2022,AM,"1,277,514.06","1,314,787.30", -   , MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,10,2022,AM,"132,848.00","148,639.00", -   , MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",Macromedidor en mal estado,10,2022,AM,"13,789.00","13,891.00", -   , MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,10,2022,AM,"23,648.00","24,432.09",0.9, MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,10,2022,AM,"140,798.00","190,429.00",13.12, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,10,2022,AM,"1,438,878.00","1,484,970.00",11:08, MA 
SRM52,"Salida Tanque San Isidro Oeste 6""",,10,2022,,"1,508,258.00", -   , -   , MA 
SRM27,Salida Tanq San Isidro a San Francisco Bunt Planet,,10,2022,AM,"1,148,884.00","1,175,758.00",12.7, MA 
SRM29,Salida Pricipal Tanque San Isidro Bunt Planet,,10,2022,AM,"3,708,455.00","3,792,580.00",39.29, MA 
SIM17,Cementerio  Bunt Planet,Problema de energización,10,2022,AM,"851,230.92","868,453.11",8.73, MA 
SIM18,Mas x Menos Bunt Planet,Punto Sin Macromedidor,10,2022,AM,"1,318,735.00","1,350,123.00",15.09, MA 
SIM19,Cruz Roja Bunt Planet,Estación Fuera de Operación Definitiva,10,2022,,,,, MA 
SIM53,Entrada al Tanque San Francisco (T4),,10,2022,AM,"594,427.00","619,987.00",7.91, MA 
SRM01,"Presa Concepción Cieneguita  (Cienega Norte) (4"")",,10,2022,AM,,"2,511,761.00",28.49, MA 
SRM48,Caja a la Entrada de T Cienega Sur Nuevo,,10,2022,AM,"1,521,456.00","1,578,350.00",22.36, MA 
SRM49,Caja a la Entrada de T Cienega Sur Nuevo,,10,2022,AM,"207,502.00","246,977.00",12.59, MA 
SRM11,Tanque ChamacoEntrada del Tirol,,10,2022,AM,"2,539,829.00","2,689,178.00",45.85, MA 
SRM07,"Cond Tanq. Chaverri T 90 Linea I  (8"")",,10,2022,AM,"244,505.00","503,980.00",76.27, MA 
SRM08,"Cond Tanq. Chaverri T90 Linea II  (8"")",Macromedidor en mal estado,10,2022,AM,"10,772,820.00","11,061,726.00",90.49, MA 
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",,10,2022,AM,"579,299.89","579,299.89", FOP , MA 
SRM42,"Conducción Noventa a Palmar (4"")",,10,2022,AM,"920,075.91","952,605.26",13.58, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",Macromedidor en mal estado,10,2022,,,,, MA 
,Iris Hernández,,10,2022,AM,"367,798.00","441,605.00",23.96, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,10,2022,,,,, M2  
BM09,Botho Steinvorth,,10,2022,AM,"3,252,289.00","3,348,652.50",24.75, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,10,2022,AM,"2,015,660.00","2,062,927.00",17.22, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",Datos Irregulares,10,2022,AM,"5,563,953.60","5,690,464.90",67.31, MA 
,29 Catarata,,10,2022,AM,"228,310.00","275,834.00",17.34,
BM16,Arrieta,,10,2022,AM,"3,828,813.60","3,926,707.30",34.68, MA 
,La Anexa,,10,2022,AM,"147,653.00","158,581.00",6.16, M1 
BM03,Carlos Steinvorth,,10,2022,AM,"3,603,208.10","3,707,567.50",32.61, MA 
,29 A,Datos Irregulares,10,2022,AM,"93,097.00","93,097.00",17.37, M1 
BM14,Sacramento,,10,2022,PM,"3,363,218.00","3,440,504.00",27.95, MA 
BM19,"Marin Cañas Electromagnetico 2""",,10,2022,AM,"202,419.00","205,349.00",1.36, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,10,2022,AM,,"11,334,766.00",128.13, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,10,2022,AM,"6,175,923.00","6,233,849.00",18.91, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,10,2022,AM,"7,973,418.00","7,973,469.00",15.18, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,10,2022,AM,"8,243,688.00","8,627,451.00",129.7, MA 
BM10,"El Higueron 8""  (6"")",,10,2022,AM,"6,776,356.00","6,972,505.00",66.06, MA 
BM11,"LA Gemela #1 (6"")",,10,2022,AM,"3,979,333.00","4,000,179.00",7.36, MA 
BM12,"LA Gemela #2  (6"")",,10,2022,AM,"6,364,880.00","6,552,410.00",64.55, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Macromedidor en mal estado,10,2022,PM,,,171.31, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",Problema de energización,10,2022,AM,,,21.08, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,10,2022,AM,"1,962,488.00","2,147,951.00",50.7, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,10,2022,AM,"1,535,079.00","1,598,430.00",28.83, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,10,2022,AM,"1,341,620.00","1,399,238.00",28.23, MA 
,Mata Plátano,,10,2022,AM,"106,900.05","139,487.91",4.27,
BM25,"Sacramento 3""",,10,2022,PM,"100,385.00","114,259.00",5.17,
SPM01,"Pozo Miraflores        ( 8"" )",Pozo Apagado,11,2022,AM,"3,016,243.00","3,016,243.00", FOP , MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,11,2022,AM,"5,399,307.00","5,526,721.00",50.2, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",Pozo Apagado,11,2022,AM,"7,638.00","7,822.00", FOP , MA 
HM07,Pozo Real Santamaría,,11,2022,AM,"16,951,847.00","17,139,455.00",78.82, MA 
HM17,"Pozo Trebol (8"")",,11,2022,AM,"4,361,435.00","4,459,093.00",68.7, MA 
HM10,"Pozo Monte Alegre ( 6"" )",Pozo Apagado,11,2022,AM,"911,942.99","912,546.46", FOP , MA 
HM12,"Pozo Granada ( 10"" )",,11,2022,AM,"4,009,489.00","4,101,042.00",37.9, MA 
HM21,"Pozo Aurora II  ( 4"" )",Pozo Apagado,11,2022,AM,"156,770.00","156,770.00", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",Pozo Apagado,11,2022,AM,"135,776.00","135,776.00", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,11,2022,AM,"870,565.13","990,675.05",50.74, MA 
HM22,Medidor para venta de agua Malinches,Pozo Apagado,11,2022,AM,"1,000.90","1,000.90", FOP , MA 
HM14,"Pozo Malinches  II  ( 6"" )",,11,2022,AM,"999,098.57","1,212,789.85",85.23, M2 
HM06,"Pozo San Vicente        ( 10"" )",,11,2022,AM,,"68,817.00",109.49, MA 
HM18,"Pozo Claretiano         ( 10"" )",,11,2022,AM,"5,919,744.00","6,047,971.00",51, MA 
HM19,"Pozo Boruca (8"")",Macromedidor en mal estado,11,2022,AM,"343,746.90",, FOP , MA 
BM17,"Pozo Malinches Real  ( 8"" )",,11,2022,AM,"1,174,562.00","1,207,249.00",29.46, MA 
SRM28,"Pozo Los Altos I  ( 4"" )",Pozo Apagado,11,2022,AM,"306,324.00","328,399.00", FOP , MA 
SRM37,Pozo Los Altos II ,,11,2022,AM,"1,773,330.80","1,836,302.60",29.94, MA 
SRM32,"Pozo Matasanos      ( 4"" )",Pozo Apagado,11,2022,AM,"443,917.00","455,914.00", FOP , MA 
SRM26,Pozo Joya 1,,11,2022,AM,"504,975.10","514,998.73",8.96, MA 
SRM33,Pozo Joya 2,,11,2022,AM,"3,316,980.00","3,340,651.60",26.49, MA 
HM13,"Pozo Joya 3 (8"")",,11,2022,AM,"2,357,215.00","2,391,952.00",35.2, MA 
SRM30,"Pozo Santiago ( 8"" )",Pozo Apagado,11,2022,AM,"1,566,863.00","1,591,907.00", FOP , MA 
SRM25,"Pozo Burial       ( 6"" )",Pozo Apagado,11,2022,AM,"1,593,001.00","1,639,234.00", FOP , MA 
SRM12,"Pozo Highland Ranch (3"")",Pozo Apagado,11,2022,AM,"631,944.00","642,279.00", FOP , MA 
SIM04,Pozo Santa Cruz I        ,Pozo Apagado,11,2022,PM,"1,658,938.10","1,660,940.80", FOP , MA 
SIM02,"Pozo Santa Cruz II (8"")",,11,2022,PM,"96,184.26","153,199.95",45.62, MA 
,Pozo Vilaseca,Pozo Apagado,11,2022,PM,,"64,721.85", FOP ,
,Rebombeo Vilaseca  Rebombeo Chizos,Punto Sin Macromedidor,11,2022,,,,,
SIM12,"Mata Maiz Llegando al Tanque 4""",,11,2022,PM,"737,859.00","767,098.00",12.1, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,11,2022,PM,"975,910.00","997,052.00",7, MA 
SIM14,"Limpieza Tanque Victoria 8""",Linea fuera de Operación,11,2022,PM,"19,829.00","29,829.00",28.98, MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,11,2022,PM,"1,557,379.00","1,596,151.00",28.98, MA 
SIM09,"Rebombeo Chizos t. victoria 6""",Linea fuera de Operación,11,2022,PM,"830,612.85","832,845.27", FOP , MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",Linea fuera de Operación,11,2022,PM,"19,190.82","19,396.07", FOP , MA 
PEND,"Victoria Saliendo 6""",Linea fuera de Operación,11,2022,PM,,"1,763,468.00",34.84, MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",Linea fuera de Operación,11,2022,PM,"272,804.00","276,512.00", FOP , MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,11,2022,PM,"519,144.00","521,867.00",8.68, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,11,2022,,"505,100.00","521,867.00",8.3, MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,11,2022,AM,"219,744.00","231,900.00",1.02, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,11,2022,AM,"59,961.00","77,790.00",12.68, MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),,11,2022,AM,"148,634.00","165,233.00",17.05, MA 
SRM51,Breña Mora Entrada Planta,,11,2022,AM,"1,506,896.70","1,544,672.00",14.8, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,11,2022,AM,"1,314,787.30","1,350,228.00",22.6, MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,11,2022,AM,"148,639.00","165,233.00",17.05, MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",Linea fuera de Operación,11,2022,AM,"13,891.00","13,891.00", FOP , MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,11,2022,AM,"24,432.09","25,158.00",0.96, MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,11,2022,AM,"190,429.00","227,862.00",5.69, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,11,2022,AM,"1,484,970.00","1,520,982.00",7.53, MA 
SRM52,"Salida Tanque San Isidro Oeste 6""",,11,2022,AM, -   ,"1,534,926.00",17.14, MA 
SRM27,Salida Tanq San Isidro a San Francisco Bunt Planet,,11,2022,AM,"1,175,758.00","1,201,900.00",13.94, MA 
SRM29,Salida Pricipal Tanque San Isidro Bunt Planet,,11,2022,AM,"3,792,580.00","3,870,304.00",42.96, MA 
SIM17,Cementerio  Bunt Planet,,11,2022,PM,"868,453.11","885,211.13",8.47, MA 
SIM18,Mas x Menos Bunt Planet,,11,2022,PM,"1,350,123.00","1,380,482.50",14.86, MA 
SIM19,Cruz Roja Bunt Planet,Estación Fuera de Operación Definitiva,11,2022,,,,, MA 
SIM53,Entrada al Tanque San Francisco (T4),Linea fuera de Operación,11,2022,PM,"619,987.00","643,677.00", FOP , MA 
SRM01,"Presa Concepción Cieneguita  (Cienega Norte) (4"")",,11,2022,AM,"2,511,761.00","2,582,433.00",27.99, MA 
SRM48,Caja a la Entrada de T Cienega Sur Nuevo,,11,2022,AM,"1,578,350.00","1,632,264.00",22.53, MA 
SRM49,Caja a la Entrada de T Cienega Sur Nuevo,,11,2022,AM,"246,977.00","274,945.00",10.28, MA 
SRM11,Tanque ChamacoEntrada del Tirol,,11,2022,AM,"2,689,178.00","2,804,594.00",48.22, MA 
SRM07,"Cond Tanq. Chaverri T 90 Linea I  (8"")",,11,2022,AM,"503,980.00","671,621.00",49.26, MA 
SRM08,"Cond Tanq. Chaverri T90 Linea II  (8"")",,11,2022,AM,"11,061,726.00","11,264,926.00",81.64, MA 
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",,11,2022,AM,"579,299.89","579,299.89", FOP , MA 
SRM42,"Conducción Noventa a Palmar (4"")",,11,2022,AM,"95,260,526.00","98,390,129.00",13.17, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",Estación Fuera de Operación Definitiva,11,2022,,,,, MA 
,Iris Hernández,,11,2022,AM,"441,605.00","496,138.00",20.46, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,11,2022,,,,, M2  
BM09,Botho Steinvorth,,11,2022,AM,"3,348,652.50","3,400,362.80",19.26, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,11,2022,AM,"2,062,927.00","2,104,811.00",16.77, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",,11,2022,AM,"5,690,464.90","5,805,767.50",68.68, MA 
,29 Catarata,,11,2022,AM,"275,834.00","318,334.00",16.51,
BM16,Arrieta,,11,2022,AM,"3,926,707.30","4,027,559.20",14.69, MA 
,La Anexa,,11,2022,AM,"158,581.00","178,155.00",8.77, M1 
BM03,Carlos Steinvorth,,11,2022,AM,"37,075,675.00","37,658,212.00",10.54, MA 
,29 A,Macromedidor en mal estado,11,2022,AM,"93,097.00","93,097.00",16.37, M1 
BM14,Sacramento,Macromedidor en mal estado,11,2022,AM,"3,440,504.00","3,512,995.00",8.31, MA 
BM19,"Marin Cañas Electromagnetico 2""",,11,2022,AM,"205,349.00","207,886.00",0.74, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,11,2022,AM,"11,334,766.00","11,600,609.00",74.54, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,11,2022,AM,"6,233,849.00","6,282,289.00",8.12, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,11,2022,AM,"7,973,469.00","7,973,496.00",10.95, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,11,2022,AM,"8,627,451.00","8,895,065.00",106.9, MA 
BM10,"El Higueron 8""  (6"")",,11,2022,AM,"6,972,505.00","7,129,194.00",46.17, MA 
BM11,"LA Gemela #1 (6"")",,11,2022,AM,"4,000,179.00","4,019,685.00",7.47, MA 
BM12,"LA Gemela #2  (6"")",,11,2022,AM,"6,552,410.00","6,671,827.00",46.14, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Punto Sin Macromedidor,11,2022,PM,,,99.85, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",Punto Sin Macromedidor,11,2022,AM,,,21.07, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,11,2022,AM,"2,147,951.00","2,299,119.00",65.7, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,11,2022,AM,"1,598,430.00","1,659,679.00",22.72, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,11,2022,AM,"1,399,238.00","1,454,752.00",22.12, MA 
,Mata Plátano,,11,2022,AM,"139,487.91","160,634.00",4.8,
BM25,"Sacramento 3""",,11,2022,AM,"114,259.00","127,550.00",5.09,
SPM01,"Pozo Miraflores        ( 8"" )",Pozo Apagado,12,2022,PM,"3,016,043.00","3,016,043.00", FOP , MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,12,2022,PM,"5,526,721.00","5,663,874.00",49.9, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",Pozo Apagado,12,2022,PM,"7,822.00","7,882.00", FOP , MA 
HM07,Pozo Real Santamaría,,12,2022,PM,"17,139,455.00","17,337,566.00",70.76, MA 
HM17,"Pozo Trebol (8"")",,12,2022,PM,"4,459,093.00","4,551,112.00",68.6, MA 
HM10,"Pozo Monte Alegre ( 6"" )",Pozo Apagado,12,2022,PM,"912,546.46","917,523.39", FOP , MA 
HM12,"Pozo Granada ( 10"" )",,12,2022,PM,"4,101,042.00","4,198,280.00",39, MA 
HM21,"Pozo Aurora II  ( 4"" )",Pozo Apagado,12,2022,PM,"156,770.00","156,770.00", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",Pozo Apagado,12,2022,PM,"135,776.00","135,776.00", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,12,2022,PM,"990,675.05","1,129,534.89", FOP , MA 
HM22,Medidor para venta de agua Malinches,Pozo Apagado,12,2022,PM,"1,000.90","1,000.90", FOP , MA 
HM14,"Pozo Malinches  II  ( 6"" )",,12,2022,PM,"1,212,789.85","1,448,589.09", FOP , M2 
HM06,"Pozo San Vicente        ( 10"" )",,12,2022,AM,"68,817.00","230,725.00",109, MA 
HM18,"Pozo Claretiano         ( 10"" )",,12,2022,PM,"6,047,971.00","6,189,649.00",51.9, MA 
HM19,"Pozo Boruca (8"")",,12,2022,PM,,"416,338.54",23.89, MA 
BM17,"Pozo Malinches Real  ( 8"" )",,12,2022,PM,"1,207,249.00","1,264,824.00",29.14, MA 
SRM28,"Pozo Los Altos I  ( 4"" )",Pozo Apagado,12,2022,PM,"328,399.00","360,723.00",13.7, MA 
SRM37,Pozo Los Altos II ,,12,2022,PM,"1,836,302.60","1,908,092.80",30.03, MA 
SRM32,"Pozo Matasanos      ( 4"" )",Pozo Apagado,12,2022,PM,"455,914.00","472,740.00",10.47, MA 
SRM26,Pozo Joya 1,,12,2022,AM,"514,998.73","536,502.15",7.6, MA 
SRM33,Pozo Joya 2,,12,2022,AM,"3,340,651.60","3,404,493.00",24.99, MA 
HM13,"Pozo Joya 3 (8"")",,12,2022,AM,"2,391,952.00","2,461,067.00",35.03, MA 
SRM30,"Pozo Santiago ( 8"" )",Pozo Apagado,12,2022,AM,"1,591,907.00","1,599,757.00", FOP , MA 
SRM25,"Pozo Burial       ( 6"" )",Pozo Apagado,12,2022,AM,"1,639,234.00","1,681,212.00",31.37, MA 
SRM12,"Pozo Highland Ranch (3"")",Pozo Apagado,12,2022,AM,"642,279.00","650,029.00", FOP , MA 
SIM04,Pozo Santa Cruz I        ,Pozo Apagado,12,2022,AM,"1,660,940.80","1,686,294.80", FOP , MA 
SIM02,"Pozo Santa Cruz II (8"")",,12,2022,AM,"153,199.95","200,306.74", FOP , MA 
,Pozo Vilaseca,Pozo Apagado,12,2022,AM,"64,721.85","86,390.59", FOP ,
,Rebombeo Vilaseca  Rebombeo Chizos,Punto Sin Macromedidor,12,2022,,,,,
SIM12,"Mata Maiz Llegando al Tanque 4""",,12,2022,AM,"767,098.00","789,838.00",6.59, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,12,2022,AM,"997,052.00","1,016,947.00",6.39, MA 
SIM14,"Limpieza Tanque Victoria 8""",Linea fuera de Operación,12,2022,AM,"19,829.00","19,829.00", FOP , MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,12,2022,AM,"1,596,151.00","1,633,034.00", FOP , MA 
SIM09,"Rebombeo Chizos t. victoria 6""",Linea fuera de Operación,12,2022,AM,"832,845.27","840,060.06", FOP , MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",Linea fuera de Operación,12,2022,AM,"19,396.07","19,613.80", FOP , MA 
PEND,"Victoria Saliendo 6""",Linea fuera de Operación,12,2022,AM,"1,763,468.00","1,823,259.00", FOP , MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",Linea fuera de Operación,12,2022,AM,"276,512.00","285,538.00", FOP , MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,12,2022,AM,"521,867.00","546,423.00",6.4, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,12,2022,AM,"521,867.00","530,044.00",6.6, MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,12,2022,AM,"231,900.00","234,609.00",0.6, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,12,2022,AM,"77,790.00","90,297.00", FOP , MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),,12,2022,AM,"165,233.00","181,533.00",15.36, MA 
SRM51,Breña Mora Entrada Planta,,12,2022,AM,"1,544,672.00","1,583,415.00",13.01, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,12,2022,AM,"1,350,228.00","1,387,138.90",22.02, MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,12,2022,AM,"165,233.00","181,533.00",15.36, MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",Linea fuera de Operación,12,2022,AM,"13,891.00","14,023.00", FOP , MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,12,2022,AM,"25,158.00","25,968.00",1.3, MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,12,2022,AM,"227,862.00","259,928.00",8.95, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,12,2022,AM,"1,520,982.00","1,558,493.00",3, MA 
SRM52,"Salida Tanque San Isidro Oeste 6""",,12,2022,AM,"1,534,926.00","1,570,967.00",20.16, MA 
SRM27,Salida Tanq San Isidro a San Francisco Bunt Planet,,12,2022,AM,"1,201,900.00","1,230,734.00",14.61, MA 
SRM29,Salida Pricipal Tanque San Isidro Bunt Planet,,12,2022,AM,"3,870,304.00","3,948,960.00",44.58, MA 
SIM17,Cementerio  Bunt Planet,,12,2022,AM,"885,211.13","903,105.77",7.03, MA 
SIM18,Mas x Menos Bunt Planet,,12,2022,AM,"1,380,482.50","1,412,847.74",13.4, MA 
SIM19,Cruz Roja Bunt Planet,Estación Fuera de Operación Definitiva,12,2022,,,,, MA 
SIM53,Entrada al Tanque San Francisco (T4),Linea fuera de Operación,12,2022,AM,"643,677.00","646,175.00", FOP , MA 
SRM01,"Presa Concepción Cieneguita  (Cienega Norte) (4"")",,12,2022,AM,"2,582,433.00","2,654,891.00",24.91, MA 
SRM48,Caja a la Entrada de T Cienega Sur Nuevo,,12,2022,AM,"1,632,264.00","1,687,471.00",14.19, MA 
SRM49,Caja a la Entrada de T Cienega Sur Nuevo,,12,2022,AM,"274,945.00","310,597.00",14.08, MA 
SRM11,Tanque ChamacoEntrada del Tirol,,12,2022,AM,"2,804,594.00","2,940,267.00",58.94, MA 
SRM07,"Cond Tanq. Chaverri T 90 Linea I  (8"")",,12,2022,AM,"671,621.00","882,507.00",78.12, MA 
SRM08,"Cond Tanq. Chaverri T90 Linea II  (8"")",,12,2022,AM,"11,264,926.00","11,499,809.00",94.54, MA 
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",,12,2022,AM,"579,299.89","579,299.89", FOP , MA 
SRM42,"Conducción Noventa a Palmar (4"")",,12,2022,AM,"983,901.29","1,017,573.50",16.07, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",Estación Fuera de Operación Definitiva,12,2022,,,,, MA 
,Iris Hernández,,12,2022,AM,"496,138.00","551,412.00",12.7, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,12,2022,,,,, M2  
BM09,Botho Steinvorth,,12,2022,AM,"3,400,362.80","3,460,610.90",15.69, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,12,2022,AM,"2,104,811.00","2,149,413.00",13.07, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",,12,2022,AM,"5,805,767.50","5,931,061.00",61.73, MA 
,29 Catarata,,12,2022,AM,"318,334.00","363,605.00",13.75,
BM16,Arrieta,,12,2022,AM,"4,027,559.20","4,140,864.50",29.87, MA 
,La Anexa,,12,2022,AM,"178,155.00","195,102.00",6.57, M1 
BM03,Carlos Steinvorth,,12,2022,AM,"3,765,821.20","3,823,805.70",19.76, MA 
,29 A,Macromedidor en mal estado,12,2022,AM,"93,097.00","93,097.00",13.23, M1 
BM14,Sacramento,,12,2022,PM,"3,512,995.00","3,573,984.00",31.75, MA 
BM19,"Marin Cañas Electromagnetico 2""",,12,2022,PM,"207,886.00","210,331.00",0.86, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,12,2022,PM,"11,600,609.00","11,890,991.00",84.14, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,12,2022,AM,"6,282,289.00","6,338,419.00",23.45, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,12,2022,AM,"7,973,496.00","7,973,516.00",17.08, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,12,2022,AM,"8,895,065.00","9,183,317.00",87, MA 
BM10,"El Higueron 8""  (6"")",,12,2022,AM,"7,129,194.00","7,242,608.00",40.34, MA 
BM11,"LA Gemela #1 (6"")",,12,2022,AM,"4,019,685.00","4,034,922.00",5.17, MA 
BM12,"LA Gemela #2  (6"")",,12,2022,AM,"6,671,827.00","6,811,498.00",52.54, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Punto Sin Macromedidor,12,2022,PM,,,26.67, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",,12,2022,AM,,"56,808.00",23.75, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,12,2022,AM,"2,299,119.00","2,484,361.00",61.09, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,12,2022,AM,"1,659,679.00","1,723,606.00",23.19, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,12,2022,AM,"1,454,752.00","1,512,887.00",22.43, MA 
,Mata Plátano,,12,2022,AM,"160,634.00","175,597.22",3.81,
BM25,"Sacramento 3""",,12,2022,AM,"127,550.00","142,123.00",5.29,
