ID,Punto de Medición,Estado,MES,Año,hora,Caudal acumulado anterior                       (m3 ) ,Caudal acumulado                   (m3 ),Lectura registro                ( L/s),"M1, M2, M3, M4, M5, MA"
SIM01,"Tanque Succion  tanque Victoria 6""",,5,2022,AM,"1,294,948.00","1,344,247.00",15, MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,5,2022,AM,"822,358.29","823,384.52", FOP , MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,5,2022,AM,"17,733.17","17,944.57", FOP , MA 
PEND,"Victoria Saliendo 6""",,5,2022,AM,"1,443,231.00","1,483,910.00", FOP , MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,5,2022,AM,"251,807.00","256,427.00",, MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,5,2022,AM,"441,081.80","453,844.13",8.49, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,5,2022,AM,"431,940.71","443,793.11",14.09, MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,5,2022,AM,"165,155.00","172,434.00",3.71, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,5,2022,AM,"3,823.00","13,883.00",3.51, MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),Estación Fuera de Operación Definitiva,5,2022,,"70,139.00",,, MA 
SRM51,Breña Mora Entrada Planta,,5,2022,AM,"1,264,006.30","1,306,458.06",16, MA 
SRM50,Breña Mora Salida Planta Tratamiento,,5,2022,AM,"1,107,451.70","1,144,498.30",, MA 
PEND,Salida Tanque Breña Mora  Tanque San Isidro,,5,2022,AM,"70,139.00","85,820.00",14.57, MA 
SRM46,"Rebombeo T Sn Isidro  T Breña Mora (6"")",Macromedidor en mal estado,5,2022,AM,"13,386.00","13,386.00",, MA 
SRM47,"Rebombeo T Breña Mora hacia el Norte 4""",,5,2022,AM,"20,430.00","21,069.00",5.1, MA 
SRM19,Entrada Chorreras I a Tanque San Isidro,,5,2022,AM,"2,262,314.00","10,798.00",10.98, MA 
SRM18,Entrada Chorreras II a Tanque San Isidro,,5,2022,AM,"1,182,015.00","1,243,436.00",22.64, MA 
SRM52,"Salida Tanque San Isidro Oeste 6""",,5,2022,AM,"1,365,317.00","1,395,798.00",15.66, MA 
SRM27,Salida Tanq San Isidro a San Francisco Bunt Planet,,5,2022,AM,"1,035,431.00","1,058,230.00",12.02, MA 
SRM29,Salida Pricipal Tanque San Isidro Bunt Planet,,5,2022,AM,"3,329,987.00","3,407,159.00",41.66, MA 
SIM17,Cementerio  Bunt Planet,Problema de energización,5,2022,AM,"774,361.51","789,819.43",8.1, MA 
SIM18,Mas x Menos Bunt Planet,Punto Sin Macromedidor,5,2022,AM,"1,179,649.60","1,207,406.20",14.59, MA 
SIM19,Cruz Roja Bunt Planet,Estación Fuera de Operación Definitiva,5,2022,,,,, MA 
SIM53,Entrada al Tanque San Francisco (T4),,5,2022,AM,"465,603.00","495,694.00",12.01, MA 
SRM01,"Presa Concepción Cieneguita  (Cienega Norte) (4"")",,5,2022,AM,"2,086,570.00","2,154,075.00",26.5, MA 
SRM48,Caja a la Entrada de T Cienega Sur Nuevo,,5,2022,AM,"1,266,563.00","1,313,061.00",20.61, MA 
SRM49,Caja a la Entrada de T Cienega Sur Nuevo,,5,2022,AM,"27,315.00","57,991.00",14.56, MA 
SRM11,Tanque ChamacoEntrada del Tirol,,5,2022,AM,"1,794,541.30","1,915,174.00",53.51, MA 
SRM07,"Cond Tanq. Chaverri T 90 Linea I  (8"")",Macromedidor en mal estado,5,2022,AM,"12,869,878.00",,, MA 
SRM08,"Cond Tanq. Chaverri T90 Linea II  (8"")",,5,2022,AM,"9,580,350.00","9,713,804.00",52.16, MA 
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",Linea fuera de Operación,5,2022,AM,"529,299.89",,, MA 
SRM42,"Conducción Noventa a Palmar (4"")",,5,2022,AM,"799,625.58","832,165.51",16.1, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",,5,2022,AM,,,, MA 
,Iris Hernández,,5,2022,,"57,817.00","94,408.00",18.46, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,5,2022,,,,, M2  
BM09,Botho Steinvorth,,5,2022,PM,"2,820,912.09","2,872,877.70",93.26, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,5,2022,PM,"1,817,626.00","1,846,252.00",11.38, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",Macromedidor en mal estado,5,2022,PM,"4,855,063.10","4,855,063.10",65.56, MA 
,29 Catarata,,5,2022,PM,"13,131.00","41,547.00",18.69,
BM16,Arrieta,,5,2022,PM,"3,385,386.60","3,459,177.40",30.87, MA 
,La Anexa,Datos Irregulares,5,2022,PM,"91,823.00","101,147.00",, M1 
BM03,Carlos Steinvorth,,5,2022,PM,"3,201,826.70","3,226,963.30",24.13, MA 
,29 A,Datos Irregulares,5,2022,PM,"19,003.00",,, M1 
BM14,Sacramento,,5,2022,PM,"3,016,250.00","3,068,050.00",28.97, MA 
BM19,"Marin Cañas Electromagnetico 2""",,5,2022,PM,"190,728.00","192,737.00",0.67, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,5,2022,PM,"9,608,044.00","9,747,511.00",125.77, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,5,2022,AM,"5,897,974.00","5,944,536.00",24.03, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,5,2022,AM,"7,866,463.00","7,946,942.00",20.14, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,5,2022,AM,"6,617,626.00","6,811,148.00",122.6, MA 
BM10,"El Higueron 8""  (6"")",,5,2022,AM,"5,990,736.00","6,086,121.00",40.87, MA 
BM11,"LA Gemela #1 (6"")",,5,2022,AM,"3,875,617.00","3,895,228.00",8.2, MA 
BM12,"LA Gemela #2  (6"")",,5,2022,AM,"5,655,542.00","5,705,988.00",23.71, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Macromedidor en mal estado,5,2022,,,,94.5, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",,5,2022,AM,"753,500.00","806,892.00",20.46, MA 
